# fps: 10.000000
# x,y,z,qx,qy,qz,qw
-0.157957,0.555283,0.390879,0.115336,-0.349008,0.897161,0.244936
-0.159399,0.559826,0.394765,0.127219,-0.346424,0.888411,0.273005
-0.145249,0.58495,0.40601,0.139055,-0.345019,0.878163,0.300759
-0.151726,0.596042,0.407002,0.151643,-0.342771,0.867362,0.327407
-0.15424,0.614251,0.43635,0.162614,-0.340142,0.855861,0.354065
-0.163395,0.631432,0.437391,0.173343,-0.338784,0.842891,0.380411
-0.146929,0.638867,0.44488,0.186386,-0.334657,0.828926,0.407611
-0.143255,0.654425,0.45176,0.197004,-0.330336,0.814258,0.4348
-0.125704,0.662048,0.464672,0.20911,-0.325406,0.799885,0.458876
-0.123755,0.675996,0.475328,0.221158,-0.320333,0.783242,0.484777
-0.118301,0.67786,0.468026,0.232528,-0.315172,0.766238,0.509389
-0.103463,0.67243,0.471286,0.244413,-0.309887,0.748581,0.532784
-0.102367,0.668499,0.486541,0.255594,-0.303357,0.731253,0.554901
-0.114716,0.672657,0.501033,0.265206,-0.29716,0.713134,0.576889
-0.0994343,0.684599,0.516035,0.275567,-0.289554,0.693226,0.599717
-0.0744497,0.691311,0.513922,0.285387,-0.282563,0.672584,0.621565
-0.0692411,0.693377,0.514342,0.294153,-0.275956,0.651175,0.642879
-0.0535193,0.681665,0.512917,0.304093,-0.269801,0.628934,0.662704
-0.0512607,0.687944,0.529638,0.311963,-0.262737,0.608129,0.681049
-0.0489152,0.676255,0.52129,0.320696,-0.254333,0.585732,0.699562
-0.0377408,0.686357,0.515025,0.329766,-0.24644,0.563384,0.716324
-0.0228158,0.680882,0.520389,0.337988,-0.238715,0.538769,0.733831
0.00580428,0.67532,0.526042,0.345697,-0.228472,0.514412,0.750782
0.0161522,0.684523,0.539662,0.352021,-0.219543,0.490666,0.766244
0.0352315,0.680677,0.534759,0.359268,-0.210046,0.464428,0.781738
0.0509327,0.677368,0.527812,0.365595,-0.200071,0.438293,0.796374
0.0489376,0.682653,0.519094,0.37193,-0.190235,0.411874,0.809839
